,home_odds_midpoint,mean,count,std,ci_95_hi,ci_95_lo
0,0.025,0.125,8,0.3535533905932738,0.37,-0.11999999999999997
1,0.075,0.054945054945054944,91,0.22913544575873132,0.10202410076055649,0.007866009129553396
2,0.125,0.13823529411764707,340,0.34565546803928765,0.1749770615929965,0.10149352664229763
3,0.175,0.19239904988123516,421,0.3946537872726155,0.23009817730940757,0.15469992245306274
4,0.225,0.25,340,0.4336508933982873,0.2960953225507963,0.20390467744920374
5,0.275,0.3094059405940594,404,0.46282190172782883,0.35453739105102383,0.264274490137095
6,0.325,0.3067484662576687,489,0.4616163025516475,0.34766348739363184,0.2658334451217056
7,0.375,0.36780104712041883,764,0.4825227308550599,0.4020168841836798,0.33358521005715785
8,0.425,0.42857142857142855,868,0.4951569701733189,0.4615126050420168,0.3956302521008403
9,0.475,0.4650856389986825,759,0.4991083995518928,0.5005939538519711,0.42957732414539385
10,0.525,0.594392523364486,535,0.4914687487828068,0.6360386952971566,0.5527463514318154
11,0.575,0.5941043083900227,441,0.49162224781795355,0.6399890515196984,0.548219565260347
12,0.625,0.6507936507936508,315,0.47747778681550646,0.7035231888475403,0.5980641127397613
13,0.675,0.7103658536585366,328,0.45428559399343965,0.7595299560486799,0.6612017512683932
14,0.725,0.7359050445103857,337,0.44150563875431753,0.7830437200048852,0.6887663690158863
15,0.775,0.7866666666666666,300,0.4103455867405102,0.8331016411198867,0.7402316922134465
16,0.825,0.8590604026845637,149,0.34913279104994305,0.9151204651624552,0.8030003402066723
17,0.875,0.9245283018867925,53,0.2666787612158108,0.9963253461529259,0.852731257620659
18,0.925,1.0,2,0.0,1.0,1.0
19,0.975,0.0,1,,,
